Training_ID,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem_ELMo+Embeddings_fasttext_cbow_0_0,harem,ELMo+Embeddings,fasttext,cbow,0,0,17,20,00:22:26,1346.0,67.3,0.9963167793650083,0.996630244950965,0.9559935205183585,0.9549622437971953,0.9554776038855409,7.14357395247737,0.979455797180636,0.9817506283466287,0.8098765432098763,0.8367346938775507,0.8230865746549059,64.15012741088867,0.9764502814258912,0.978326454033771,0.8101567825494206,0.7936560934891486,0.8018215550682583,75.77571944470675
harem_ELMo+Embeddings_fasttext_cbow_1_0,harem,ELMo+Embeddings,fasttext,cbow,1,0,18,20,00:27:14,1634.0,81.7,0.9964266733006909,0.9967206811936721,0.9615904787665674,0.9564164648910412,0.9589964931210723,7.358111381530762,0.9871539533957379,0.9882493527185819,0.8746803069053706,0.8929503916449083,0.8837209302325078,35.40830167134603,0.9772157598499062,0.979046904315197,0.8198970840480274,0.7979966611018364,0.8087986463620482,75.06834643291977
harem_ELMo+Embeddings_fasttext_cbow_2_0,harem,ELMo+Embeddings,fasttext,cbow,2,0,16,20,00:23:08,1388.0,69.4,0.9963994457190887,0.9966947593194158,0.9566896551724138,0.9556351612014329,0.9561621174523901,6.473210021631042,0.9842806479440238,0.9850474456052909,0.8505976095617528,0.9065817409766452,0.8776978417265686,41.78932647705078,0.976360225140713,0.9782814258911819,0.8141834299352199,0.7973288814691152,0.805668016194282,74.83039228871183
harem_ELMo+Embeddings_fasttext_cbow_3_0,harem,ELMo+Embeddings,fasttext,cbow,3,0,18,20,00:23:08,1388.0,69.4,0.9965208579631819,0.9968136013060857,0.9617055947854427,0.9588410506363391,0.9602711864406281,6.773575552363894,0.9824016563146998,0.9837474120082815,0.8165137614678897,0.8746928746928745,0.8446026097271148,51.504203923543294,0.9765253283302063,0.9783114446529081,0.8017127799736495,0.8126878130217028,0.8071629912120211,73.90824048923996
harem_ELMo+Embeddings_fasttext_cbow_4_0,harem,ELMo+Embeddings,fasttext,cbow,4,0,14,20,00:19:19,1159.0,57.95,0.9960398280153882,0.9962774383344648,0.9588667937891583,0.9557426011403747,0.9573021484905673,6.983476424395149,0.9845468053491828,0.9855373947498762,0.877805486284289,0.8441247002398079,0.8606356968214657,45.71088619232178,0.9764502814258912,0.9781913696060037,0.811744966442953,0.8076794657762938,0.8097071129706612,70.08996365205297
harem_ELMo+Embeddings_fasttext_cbow_5_0,harem,ELMo+Embeddings,fasttext,cbow,5,0,19,20,00:25:04,1504.0,75.2,0.9964681456071856,0.9967840942429645,0.9576432256312788,0.9571234735413839,0.9573832790444669,6.993693131564268,0.9850806860854562,0.9860956053993708,0.8461538461538459,0.8746987951807227,0.8601895734596654,48.16768315633138,0.9781013133208255,0.979812382739212,0.8240270727580372,0.8130217028380634,0.8184873949579331,75.61125786799305
harem_ELMo+Embeddings_fasttext_cbow_6_0,harem,ELMo+Embeddings,fasttext,cbow,6,0,12,20,00:22:37,1357.0,67.85,0.9963597309366344,0.9966649708891526,0.9556517036235803,0.957204767063922,0.9564276048713979,6.736884609976811,0.9862275449101796,0.9873253493013973,0.870731707317073,0.8749999999999998,0.8728606356967714,40.1753651936849,0.977140712945591,0.9790168855534709,0.8256464011180993,0.7889816360601002,0.8068977292128579,67.03414396969777
harem_ELMo+Embeddings_fasttext_cbow_7_0,harem,ELMo+Embeddings,fasttext,cbow,7,0,16,20,00:25:28,1528.0,76.4,0.9965332102698018,0.9968258613509224,0.9580059604443241,0.9551593733117234,0.956580549168082,6.359440335586889,0.987749169435216,0.988891196013289,0.871046228710462,0.8994974874371857,0.8850432632879596,35.41413529713949,0.977936210131332,0.979812382739212,0.8170443016570849,0.806677796327212,0.8118279569891973,73.18957117818437
harem_ELMo+Embeddings_fasttext_cbow_8_0,harem,ELMo+Embeddings,fasttext,cbow,8,0,19,20,00:19:20,1160.0,58.0,0.9967679669614401,0.9970036360371684,0.9624796084828712,0.9588299024918743,0.960651289009448,6.272098689381756,0.9825984840397138,0.9844133660723817,0.8740740740740738,0.8676470588235292,0.8708487084870347,53.08117485046387,0.9773958724202627,0.9792420262664165,0.8189860496767608,0.8036727879799667,0.8112571621165662,78.94370017861421
harem_ELMo+Embeddings_fasttext_cbow_9_0,harem,ELMo+Embeddings,fasttext,cbow,9,0,15,20,00:19:20,1160.0,58.0,0.9961134465683886,0.9964647094149774,0.9567567567567568,0.9570154095701541,0.956886065684502,7.244515817779214,0.9812169829778908,0.9833692036783408,0.8398058252427182,0.8628428927680796,0.8511685116850666,54.88511049747467,0.977545966228893,0.9791969981238274,0.8131534569983137,0.805008347245409,0.8090604026845138,71.44205228337702
