Training_ID,Scenario,Model,Embedding,Batch_Size,ELMo_Dropout,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
selective_harem_glove_64_0_1_3,selective,harem,glove,64,0,1,3,10,20,00:22:39,1359.0,67.95,0.9984055725803715,0.9984847285515588,0.9819650067294751,0.9814366424535916,0.9817007534983355,6.567422703130921,0.9880501892053376,0.989344752041426,0.8871391076115482,0.8825065274151433,0.8848167539266513,68.89550071954727,0.978656660412758,0.9803527204502814,0.837932238910234,0.8010016694490818,0.8190508706042519,148.0773216823362
selective_harem_word2vec_64_0_2_1,selective,harem,word2vec,64,0,2,1,10,20,00:22:17,1337.0,66.85,0.9986597305831307,0.9987278798755139,0.9807321772639692,0.981813171672637,0.9812723767556647,5.714134906654928,0.9837055496980734,0.9844723473593405,0.8562753036437245,0.8980891719745221,0.8766839378237841,90.15284490585327,0.9777260787992496,0.9793621013133208,0.8268233667473212,0.7986644407345576,0.8124999999999499,147.84857922679973
selective_harem_fasttext_64_0_1_5,selective,harem,fasttext,64,0,1,5,10,20,00:22:36,1356.0,67.8,0.9985073445433266,0.9986091165062816,0.9800968262506724,0.9803605057842346,0.9802286482850879,6.616955366597247,0.9889464250149372,0.9901414060944035,0.8973684210526313,0.8903394255874671,0.8938401048492289,67.14464867115021,0.9776360225140713,0.9795272045028143,0.828108852910782,0.8026711185308848,0.8151915903695669,152.0720987140008
selective_harem_wang2vec_64_0_5_5,selective,harem,wang2vec,64,0,5,5,18,20,00:22:50,1370.0,68.5,0.9988828958949245,0.9989844508135678,0.9856056491037479,0.9848032564450475,0.9852042893986198,5.564948040158002,0.9851821780168477,0.9861970973307622,0.8622327790973869,0.8746987951807227,0.8684210526315287,117.58460330963135,0.9788517823639775,0.9807729831144465,0.8412032179083596,0.8030050083472454,0.8216604031431001,194.95376302611152
selective_harem_word2vec_64_0_8_1,selective,harem,word2vec,64,0,8,1,19,20,00:22:43,1363.0,68.15,0.99858598554563,0.9987094312519639,0.9840065058281378,0.9832069339111592,0.9836065573769992,5.768806755542755,0.9868687947048148,0.9882566456709726,0.8990147783251229,0.8946078431372546,0.8968058968058465,116.05707263946533,0.9780863039399624,0.9798273921200751,0.8206873086083702,0.8053422370617697,0.8129423660262393,193.17938325989923
selective_harem_word2vec_64_0_4_2,selective,harem,word2vec,64,0,4,2,16,20,00:22:17,1337.0,66.85,0.9986309119710342,0.9987101154107264,0.9825992387166939,0.9812652728753734,0.9819318027441424,5.668534245953631,0.9867261020307083,0.9878157503714711,0.8973105134474325,0.8800959232613906,0.8886198547214994,94.1566755771637,0.9778611632270169,0.9797673545966229,0.8239533287577213,0.801669449081803,0.81265865628697,179.3437242687873
selective_harem_glove_64_0_7_4,selective,harem,glove,64,0,7,4,12,20,00:21:51,1311.0,65.55,0.9987393491890189,0.9987956282430804,0.9850988891899214,0.9821717990275527,0.9836331665088097,6.237674601042449,0.9866071428571429,0.9881644518272426,0.879310344827586,0.8969849246231153,0.888059701492487,71.12069845199585,0.9778461538461538,0.9797223264540338,0.8252660487469963,0.8026711185308848,0.8138117806363753,156.1291159863742
selective_harem_none_64_0_7_0,selective,harem,none,64,0,7,0,15,20,00:22:00,1320.0,66.0,0.9979964656754049,0.9981427912159653,0.9783373950717574,0.9759589411129119,0.9771467207572185,7.805679572162344,0.9852574750830565,0.9872300664451827,0.8774999999999997,0.8819095477386932,0.8796992481202506,101.60515856742859,0.9780262664165104,0.9800375234521576,0.8365453247680228,0.7826377295492487,0.8086941521476126,178.21565941144834
selective_harem_word2vec_64_0_6_2,selective,harem,word2vec,64,0,6,2,12,20,00:21:48,1308.0,65.4,0.9985755468882482,0.9986433779888079,0.9829175704989154,0.9818526543878656,0.9823848238481886,5.812021452989152,0.988622754491018,0.9896207584830339,0.8729016786570741,0.8921568627450978,0.8824242424241923,77.4334785938263,0.9784165103189494,0.9802476547842401,0.8223350253807107,0.8113522537562604,0.8168067226890257,157.61638688141446
selective_harem_fasttext_64_0_6_5,selective,harem,fasttext,64,0,6,5,17,20,00:21:46,1306.0,65.3,0.9984398846871291,0.9985303261545418,0.981029810298103,0.980498374864572,0.980764020590576,6.307120921896465,0.9898203592814371,0.9907185628742515,0.8840579710144925,0.8970588235294115,0.8905109489050592,80.61706900596619,0.9774409005628518,0.9794971857410881,0.8171192849776555,0.7936560934891486,0.8052168021679718,191.93604778793622
selective_harem_wang2vec_64_0_0_4,selective,harem,wang2vec,64,0,0,4,17,20,00:22:22,1342.0,67.1,0.9989476512471452,0.999014822444136,0.9867817642298354,0.9865156418554477,0.9866486850977247,5.458399447932172,0.9803300185772047,0.9824062943940552,0.8120300751879697,0.8265306122448978,0.8192161820479903,125.65340280532837,0.9776960600375234,0.979437148217636,0.8221371388792204,0.7886477462437396,0.8050443081117429,175.55816301309838
selective_harem_fasttext_64_0_0_1,selective,harem,fasttext,64,0,0,1,11,20,00:22:24,1344.0,67.2,0.9986453808606869,0.9987013568581792,0.9819309600862999,0.9819309600862999,0.9819309600862499,5.495806525002664,0.9801114632280625,0.9826248497431974,0.8385416666666664,0.8214285714285712,0.8298969072164446,123.03711986541748,0.9763151969981239,0.9785215759849906,0.8507295173961841,0.7592654424040067,0.8023994354269086,176.68015102170548
selective_harem_none_64_0_2_3,selective,harem,none,64,0,2,3,17,20,00:21:58,1318.0,65.9,0.9980918198132709,0.9981826855364485,0.9787644787644788,0.9779553596031965,0.9783597518951946,8.126806631017088,0.9838972491133902,0.9850474456052909,0.8620689655172412,0.9023354564755837,0.8817427385891614,102.45469617843628,0.9772157598499062,0.9791969981238274,0.8208011243851019,0.779966611018364,0.7998630371511228,183.14440871184726
selective_harem_none_64_0_1_3,selective,harem,none,64,0,1,3,10,20,00:22:13,1333.0,66.65,0.9983942645844877,0.9984508045639071,0.9805668016194332,0.9774011299435028,0.978981406628891,7.764769216081989,0.9873531169089823,0.9886476797450707,0.8713910761154853,0.8668407310704959,0.8691099476439289,72.2948254942894,0.977545966228893,0.9794821763602252,0.8262682418346073,0.7939899833055092,0.8098075940745286,151.54979587051105
selective_harem_wang2vec_64_0_1_5,selective,harem,wang2vec,64,0,1,5,19,20,00:22:24,1344.0,67.2,0.9986204245021655,0.9986543484898172,0.9798819742489271,0.9827818132902879,0.9813297515110313,6.461289271489898,0.9889464250149372,0.9901414060944035,0.8926701570680625,0.8903394255874671,0.8915032679738061,71.93059933185577,0.9784015009380863,0.980202626641651,0.828023295649195,0.8070116861435727,0.8173824822454692,181.2139269630864
selective_harem_wang2vec_64_0_8_5,selective,harem,wang2vec,64,0,8,5,12,20,00:22:39,1359.0,67.95,0.9989002109799344,0.9989675450015711,0.9864130434782609,0.9832069339111592,0.9848073792728745,5.0892656396574045,0.9851606704387744,0.9866552791715597,0.8864197530864195,0.8799019607843135,0.8831488314882646,98.45538663864136,0.9759699812382739,0.9777861163227017,0.8232063165121868,0.8006677796327212,0.8117806364251363,159.1699880923865
selective_harem_none_64_0_2_1,selective,harem,none,64,0,2,1,16,20,00:22:11,1331.0,66.55,0.9981258944594625,0.99821676018264,0.976,0.974924221548636,0.9754618141714416,7.9946980440794535,0.9857183935588997,0.9866768906354836,0.8643724696356273,0.9065817409766452,0.8849740932641985,88.98638033866882,0.9781763602251408,0.9800225140712946,0.8357791754018169,0.7986644407345576,0.8168004097660418,181.38676107154703
selective_harem_wang2vec_64_0_9_5,selective,harem,wang2vec,64,0,9,5,9,20,00:21:56,1316.0,65.8,0.9986176107327797,0.9987309213284534,0.9821814254859611,0.9835090565017572,0.9828447926515778,6.075078633294177,0.9839561729602817,0.9861083936607318,0.8681592039800993,0.8703241895261843,0.8692403486923532,105.13364696502686,0.97787617260788,0.9800075046904315,0.8319859402460457,0.7903171953255426,0.8106164383561145,142.068778271945
selective_harem_wang2vec_64_0_8_4,selective,harem,wang2vec,64,0,8,4,12,20,00:22:24,1344.0,67.2,0.9987655429366611,0.9988553216321767,0.9845528455284552,0.9840195016251354,0.9842861013275035,5.437769772401497,0.9855877015052845,0.9870823102380698,0.8974999999999997,0.8799019607843135,0.8886138613860883,96.57106351852417,0.9781013133208255,0.9800075046904315,0.8344370860927153,0.7993322203672788,0.8165075034105912,161.18943297188238
selective_harem_word2vec_64_0_9_1,selective,harem,word2vec,64,0,9,1,18,20,00:22:04,1324.0,66.2,0.9987875766262904,0.9989122182815315,0.9880499728408474,0.9835090565017572,0.9857742853271415,5.86708748518531,0.9822930933281159,0.9842496576012522,0.8450363196125905,0.8703241895261843,0.8574938574938074,142.62944614887238,0.9774409005628518,0.9791219512195122,0.8099593495934959,0.798330550918197,0.804102909029713,191.29609413866726
selective_harem_wang2vec_64_0_6_4,selective,harem,wang2vec,64,0,6,4,19,20,00:21:51,1311.0,65.55,0.9986433779888079,0.9987564298230739,0.9848114998643884,0.983477789815818,0.9841441929800286,6.37941139847485,0.9894211576846308,0.9902195608782435,0.8785714285714283,0.9044117647058821,0.8913043478260368,89.09044146537781,0.9781463414634146,0.9799624765478424,0.8247213779128673,0.8153589315525877,0.8200134318333954,195.46464254271308
selective_harem_fasttext_64_0_3_0,selective,harem,fasttext,64,0,3,0,8,20,00:22:13,1333.0,66.65,0.9986376175195631,0.9987164330349603,0.9839804507195221,0.9813160032493907,0.982646420824245,5.9385237845022285,0.9835403726708074,0.9846790890269151,0.8470873786407764,0.8574938574938572,0.8522588522588019,79.3340163230896,0.9772007504690432,0.9790769230769231,0.8382405108194395,0.7889816360601002,0.8128654970759733,138.62453043235922
