Training_ID,Corpus,Fine_Tuning,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem-ft_ELMo+CNN+Embeddings_glove_glove_6_4,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,6,4,7,10,0:06:31.035139,391.0,39.1,0.995862302865864,0.9959414391498502,0.9526027397260274,0.9417659804983749,0.9471533642058885,19.49487916747136,0.986626746506986,0.9873253493013973,0.8551068883610449,0.8823529411764703,0.8685162846802875,77.70737481117249,0.9780112570356473,0.979046904315197,0.8293361140076468,0.7966611018363939,0.8126702997274704,135.7424746819262
harem-ft_ELMo+CNN+Embeddings_glove_glove_7_0,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,7,0,7,10,0:09:32.440204,572.0,57.2,0.9944621410803327,0.9948673502695766,0.9348302300109529,0.9222042139384117,0.9284742997007932,51.11924805360682,0.9875415282392026,0.9890988372093024,0.8759305210918111,0.886934673366834,0.8813982521847188,128.99006462097168,0.9765703564727954,0.9785065666041276,0.8115843270868824,0.7953255425709516,0.8033726812815688,253.1959608219288
harem-ft_ELMo+CNN+Embeddings_glove_glove_7_1,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,7,1,7,10,0:11:06.819704,666.0,66.6,0.9940681877019011,0.9944621410803327,0.9316753211259907,0.9208535926526202,0.9262328487976678,53.109670386594885,0.9865033222591362,0.9879568106312292,0.8648648648648646,0.8844221105527635,0.8745341614906329,129.82465744018555,0.9769906191369606,0.9788067542213884,0.8106469002695418,0.803338898163606,0.8069763541840855,254.14166273894133
harem-ft_ELMo+CNN+Embeddings_glove_glove_7_2,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,7,2,7,10,0:07:09.980902,429.0,42.9,0.9955652105399413,0.9957115360805016,0.9459751485683414,0.9459751485683414,0.9459751485682915,19.043624785409044,0.9887873754152824,0.989202657807309,0.8771084337349395,0.9145728643216078,0.8954489544894947,58.67836445569992,0.9777560975609756,0.9788367729831144,0.8118351063829787,0.8153589315525877,0.8135932033982509,126.19702846599075
harem-ft_ELMo+CNN+Embeddings_glove_glove_7_3,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,7,3,8,10,0:09:14.923940,554.0,55.4,0.9945634433776437,0.9949573967560753,0.9351218176840953,0.9227444624527282,0.9288919102650758,50.80982281179989,0.987437707641196,0.9889950166112956,0.8855721393034823,0.894472361809045,0.8899999999999498,138.23638534545898,0.9773508442776735,0.9792870544090057,0.8180890853451207,0.803338898163606,0.8106469002694919,261.00199967843514
harem-ft_ELMo+CNN+Embeddings_glove_glove_7_4,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,7,4,7,10,0:06:36.382950,396.0,39.6,0.9955314431075043,0.9956777686480646,0.9457196867404807,0.9459751485683414,0.9458474004050818,19.04772761330676,0.9886835548172758,0.9890988372093024,0.8749999999999998,0.9145728643216078,0.8943488943488441,58.68204253911972,0.9777711069418387,0.9788517823639775,0.812105088127702,0.8153589315525877,0.8137287570809231,126.18777919265459
harem-ft_ELMo+CNN+Embeddings_glove_glove_8_0,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,8,0,6,10,0:10:06.058742,606.0,60.6,0.9949611707141895,0.9953651748440095,0.9354399346227186,0.9301191765980499,0.9327719679477974,49.2469643424539,0.983239030639479,0.9849471549055194,0.8840206185567008,0.8406862745098037,0.8618090452260804,183.40047454833984,0.9769906191369606,0.9789868667917448,0.8397551314368024,0.7786310517529216,0.8080388080387582,248.8486890439634
harem-ft_ELMo+CNN+Embeddings_glove_glove_8_1,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,8,1,6,10,0:12:42.571649,762.0,76.2,0.9949387260403106,0.9952978408223728,0.9358098880087408,0.9279523293607801,0.9318645450835894,49.51425372852999,0.9828119995729689,0.9847336393722643,0.8863049095607233,0.8406862745098037,0.8628930817609561,185.78284454345703,0.977140712945591,0.9790769230769231,0.8383729301655868,0.7776293823038397,0.8068595184478975,247.7431632147895
harem-ft_ELMo+CNN+Embeddings_glove_glove_8_2,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,8,2,7,10,0:10:29.161311,629.0,62.9,0.995578399245859,0.99575795663689,0.9469964664310954,0.9436619718309859,0.9453262786595621,19.043247578749018,0.9827052418063414,0.9844133660723817,0.8740740740740738,0.8676470588235292,0.8708487084870347,94.93316602706909,0.9779212007504691,0.9793771106941839,0.8270343888321416,0.8110183639398998,0.8189480782197747,129.30770402584434
harem-ft_ELMo+CNN+Embeddings_glove_glove_8_3,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,8,3,7,10,0:10:48.621338,648.0,64.8,0.9947367239754006,0.9951407281052206,0.9369369369369369,0.9295774647887324,0.933242692046177,50.131132546593165,0.9821714529732039,0.9837728194726166,0.8668341708542711,0.8455882352941174,0.856079404466451,184.34475898742676,0.9780112570356473,0.979782363977486,0.8243382605706429,0.8006677796327212,0.8123306233061831,249.5510461948536
