Training_ID,Model,Representation,Embedding,Corpus_Type,Embedding_Type,Domain_Specific,Dimension,Embedding_Dimension,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo+GloVe_4,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,4,9,10,0:43:55.573177,2635.0,263.5,0.9958693237345441,0.9960119701595819,0.9555809959931311,0.9520930763088856,0.9538338475602289,9.687318070260293,0.9896204807051114,0.9898524252703604,0.9197307094769549,0.9240374609781478,0.9218790552815488,38.57031499317714,0.9891219457770836,0.9895403324779649,0.9173387096774194,0.9104552276138069,0.9138840070298271,40.91009911128453
datalawyer-ft_ELMo+GloVe_5,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,5,5,10,0:43:42.052212,2622.0,262.2,0.9959269893106232,0.9960514255537413,0.9564571428571429,0.9546024865974678,0.9555289147684606,9.585179764343186,0.9898089356643762,0.9902293351888899,0.91701244813278,0.9198751300728408,0.9184415584415084,37.436319964272634,0.9904049983264532,0.990656030346982,0.9188376753507014,0.9174587293646823,0.9181476846057072,33.42937115260533
datalawyer-ft_ELMo+GloVe_6,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,6,8,10,0:43:38.621793,2618.0,261.8,0.9958936039771037,0.9960574956143812,0.9531983064423847,0.9501539865404357,0.9516737118701659,9.398487920135809,0.9893450465338784,0.9895769910991273,0.9168817759421787,0.9240374609781478,0.9204457113241273,36.87099557604108,0.9887872364163784,0.988954591096731,0.9089544772386193,0.9089544772386193,0.9089544772385694,35.16505947113037
datalawyer-ft_ELMo+GloVe_7,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,7,8,10,0:43:50.025995,2630.0,263.0,0.9961181962207802,0.996266912706458,0.9556088097683442,0.9551728071176001,0.9553907586993227,9.25520722824006,0.988982633150677,0.9892870603925662,0.9090444557996934,0.9255983350676379,0.917246713070329,36.82184885569981,0.9881038714716055,0.9882154412585072,0.904265873015873,0.9119559779889945,0.9080946450808965,37.748862089429586
datalawyer-ft_ELMo+GloVe_8,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,8,9,10,0:43:47.719191,2627.0,262.7,0.9958966390074236,0.9959967950079821,0.9557481751824818,0.9558571917417589,0.9558026803535287,9.715680020718487,0.9897799425937202,0.9900263836942971,0.9193967758710349,0.9198751300728408,0.9196358907671803,39.06147744315011,0.9891079995537209,0.9894984938078768,0.921092564491654,0.9109554777388694,0.9159959758550807,39.797647265025546
datalawyer-ft_ELMo+GloVe_9,datalawyer-ft,ELMo+GloVe,glove,Nilc,glove,Não,300,glove_300,9,8,10,0:43:37.413417,2617.0,261.7,0.9959725147654225,0.9961151611904603,0.9541294898192634,0.9514086916847269,0.9527671483236694,9.595826812865544,0.9898234321997043,0.9900263836942971,0.9185262065386611,0.9209157127991675,0.9197194076382976,38.569155420575825,0.9882851723753208,0.9884385808323106,0.914914914914915,0.9144572286143071,0.9146860145108332,39.30446713311331
datalawyer-ft_ELMo+GloVe-jur_0,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,0,9,10,0:43:24.331327,2604.0,260.4,0.9955020850658298,0.9956659767031073,0.9509321743108773,0.9483289608760124,0.9496287835522059,10.553602569765108,0.9890406192919892,0.9896784668464237,0.917098445595855,0.9209157127991675,0.9190031152647476,39.47408873694284,0.9893729777976124,0.9899587191788464,0.9174635128334172,0.9119559779889945,0.9147014550927749,36.138514845711846
datalawyer-ft_ELMo+GloVe-jur_1,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,1,8,10,0:43:39.463387,2619.0,261.9,0.9953412284588723,0.9955870659147885,0.9496336996336996,0.946275807003536,0.9479517796948594,10.781548276269362,0.9897219564524079,0.9900408802296251,0.9228764981761334,0.921436004162331,0.9221556886227046,37.56905856813703,0.9892614080107107,0.9896797947115921,0.9182643794147326,0.9104552276138069,0.9143431298668178,37.14567734854562
datalawyer-ft_ELMo+GloVe-jur_2,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,2,5,10,0:43:29.503499,2609.0,260.9,0.9954869099142301,0.9957357824004662,0.9510433386837881,0.9461617428995095,0.9485962605065543,10.431169821623644,0.989504508422487,0.9898814183410165,0.9181677817807514,0.9281997918834547,0.923156532988307,36.32494621276855,0.9900423965190226,0.9903213209862769,0.9168753129694541,0.9159579789894947,0.9164164164163664,30.918622548239572
datalawyer-ft_ELMo+GloVe-jur_3,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,3,5,10,0:43:38.200233,2618.0,261.8,0.9955718907631887,0.9957175722185465,0.9506342132327734,0.9488992813961447,0.9497659550176462,10.442235972526614,0.9894465222811748,0.9897944391290482,0.9216398546964193,0.9240374609781478,0.9228371005455462,35.26801237378802,0.9895542787013277,0.9898332031685819,0.9145299145299145,0.9099549774887443,0.9122367101303411,32.66617632593427
datalawyer-ft_ELMo+GloVe-jur_4,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,4,6,10,0:43:34.288455,2614.0,261.4,0.9955294003387094,0.9957023970669467,0.9516609392898052,0.9476445762518535,0.949648511173294,10.800131777587113,0.989229074251254,0.9894320257458468,0.9171384457025219,0.927159209157128,0.9221216041396655,35.249562644958495,0.9885222581724868,0.9886338279593886,0.9012896825396826,0.9089544772386193,0.9051058530510085,36.97998169490269
datalawyer-ft_ELMo+GloVe-jur_5,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,5,8,10,0:43:32.127180,2612.0,261.2,0.9954049640955913,0.9955931359754284,0.9491234101065659,0.944792973651192,0.9469532411111881,10.522177287040313,0.9903453074715143,0.990519265895451,0.9191402251791198,0.9344432882414152,0.9267285861712606,36.94194203785488,0.9893171929041615,0.9894287626910633,0.9084611578426521,0.9184592296148074,0.9134328358208456,37.48665603910174
datalawyer-ft_ELMo+GloVe-jur_6,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,6,8,10,0:43:39.788365,2619.0,261.9,0.9955992060360683,0.9957843428855854,0.9507315957933242,0.9486711531880917,0.9497002569225879,10.441880551401091,0.9894030326751906,0.9896349772404396,0.9169675090252708,0.9250780437044746,0.9210049210048712,37.349837344033375,0.9888290750864666,0.9889685373200937,0.9147442326980942,0.912456228114057,0.9135987978962685,36.17809219360352
datalawyer-ft_ELMo+GloVe-jur_7,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,7,9,10,0:43:41.218757,2621.0,262.1,0.9954444194897507,0.995623486278628,0.9494903218417134,0.9455914223793772,0.9475368613555335,10.635348101883578,0.9897944391290482,0.9904467832188107,0.9187370600414079,0.9235171696149844,0.9211209133367431,37.77473498753139,0.9885640968425751,0.9892056231172598,0.9154929577464789,0.9104552276138069,0.9129671432154004,37.7970117024013
datalawyer-ft_ELMo+GloVe-jur_8,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,8,5,10,0:43:26.095822,2606.0,260.6,0.9954201392471911,0.9955992060360683,0.9491932715413662,0.9461617428995095,0.9476750828286945,10.67287215837306,0.9891420950392856,0.9896494737757676,0.920997920997921,0.9219562955254943,0.921476859074313,36.85204926899501,0.9890801071069955,0.9895682249246904,0.9137412236710131,0.9114557278639319,0.9125970448283998,33.0211702142443
datalawyer-ft_ELMo+GloVe-jur_9,datalawyer-ft,ELMo+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,9,9,10,0:43:40.498517,2620.0,262.0,0.9953533685801521,0.9955840308844686,0.9487941479026174,0.9468461275236683,0.9478191367891713,11.180875438122662,0.9893015569278942,0.9897944391290482,0.9244491080797481,0.9167533818938606,0.9205851619644223,38.615513174874444,0.9892335155639853,0.9896797947115921,0.9274028629856851,0.9074537268634317,0.9173198482932496,35.49906338282994
