Training_ID,Model,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem_wang2vec_cbow_0_0,harem,wang2vec,cbow,0,0,16,20,00:21:50,1310.0,65.5,0.9989364560476468,0.999115579239622,0.9859913793103449,0.9870550161812298,0.986522911051163,2.1851390686386556,0.9810949622992022,0.9831712381160529,0.8308080808080806,0.8392857142857141,0.8350253807106097,76.68729915618897,0.9773658536585366,0.9793020637898686,0.8137789904502046,0.7966611018363939,0.805129070355948,100.97179489315681
harem_wang2vec_cbow_1_0,harem,wang2vec,cbow,1,0,19,20,00:21:34,1294.0,64.7,0.999174516300476,0.9992423642757794,0.9916374426760184,0.9889695991390907,0.9903017241378811,1.7567399770799856,0.9878510256920932,0.9888468432583151,0.879795396419437,0.8981723237597908,0.8888888888888387,53.94666697184245,0.9768255159474671,0.9785515947467167,0.8107009820521504,0.7993322203672788,0.8049764626764799,112.96018455613334
harem_wang2vec_cbow_2_0,harem,wang2vec,cbow,2,0,16,20,00:22:15,1335.0,66.75,0.9987392380909111,0.9988301038140888,0.986180210060807,0.9831909616974374,0.9846833172346678,2.492410404621554,0.9850474456052909,0.9860059426818748,0.8608870967741934,0.9065817409766452,0.8831437435366615,68.5742197672526,0.9783414634146341,0.9801425891181988,0.8243105209397344,0.808347245409015,0.8162508428859919,100.66381096390059
harem_wang2vec_cbow_3_0,harem,wang2vec,cbow,3,0,13,20,00:21:37,1297.0,64.85,0.9986038394415357,0.9987389517536452,0.9845612134344529,0.9842946114270241,0.9844278943804511,2.6322418822170195,0.9825051759834369,0.9838509316770186,0.832167832167832,0.8771498771498769,0.8540669856458828,60.55163059234619,0.9785515947467167,0.9801575984990619,0.8248816768086545,0.8146911519198664,0.8197547455064175,89.8240203227637
harem_wang2vec_cbow_4_0,harem,wang2vec,cbow,4,0,11,20,00:20:36,1236.0,61.8,0.998755374519122,0.9988345779588143,0.985373781148429,0.9877816997013305,0.9865762711863908,2.495396711265863,0.9873204556711244,0.9880138682516098,0.8907766990291259,0.8800959232613906,0.8854041013268495,38.288885752360024,0.9762251407129456,0.9777711069418387,0.8065057008718981,0.8030050083472454,0.80475154759908,83.45792603942583
harem_wang2vec_cbow_5_0,harem,wang2vec,cbow,5,0,10,20,00:21:34,1294.0,64.7,0.998905463654623,0.998995734693417,0.9875,0.9861601085481683,0.9868295994568407,2.553219585081757,0.9859941134679793,0.9871105247132853,0.8591549295774645,0.8819277108433733,0.8703923900118405,52.43034337361654,0.9783414634146341,0.9802326454033771,0.8382559774964838,0.7959933222036728,0.8165781811953602,86.29863791195851
harem_wang2vec_skip_0_0,harem,wang2vec,skip,0,0,15,20,00:21:46,1306.0,65.3,0.9985782096636963,0.9986789664591823,0.9830005396654075,0.982470334412082,0.9827353655246331,2.518217905466236,0.9797836302043492,0.9822970167194842,0.8195488721804509,0.8341836734693875,0.8268015170669536,72.04622548421224,0.9780262664165104,0.9797973733583489,0.8371438621174815,0.7946577629382304,0.815347721822492,93.81238922982845
harem_wang2vec_skip_1_0,harem,wang2vec,skip,1,0,16,20,00:21:40,1300.0,65.0,0.9986769644815849,0.9988352764239594,0.9830234438156831,0.9814366424535916,0.9822294022616624,2.493134109303355,0.9890460067715594,0.9902409878510257,0.8963730569948184,0.9033942558746734,0.8998699609882462,36.579307619730635,0.9770056285178237,0.9789418386491557,0.828719723183391,0.7996661101836394,0.8139337298215303,94.36823264607844
harem_wang2vec_skip_2_0,harem,wang2vec,skip,2,0,13,20,00:22:21,1341.0,67.05,0.9988528202448831,0.9989550441834579,0.9842931937172775,0.9842931937172775,0.9842931937172276,2.1497848652470024,0.9857183935588997,0.986772740343142,0.863821138211382,0.9023354564755837,0.8826583592938233,53.80885518391927,0.9779512195121951,0.9795422138836773,0.8235692516085337,0.8120200333889817,0.8177538668459488,85.86402022163823
harem_wang2vec_skip_3_0,harem,wang2vec,skip,3,0,14,20,00:20:43,1243.0,62.15,0.9985137645667962,0.9986376175195631,0.9845276872964169,0.9821283509341998,0.9833265555103201,3.0492093332056234,0.9833333333333333,0.984472049689441,0.8317972350230413,0.8869778869778867,0.858501783590913,64.58868675231933,0.9773058161350844,0.9790168855534709,0.8207292370020257,0.811686143572621,0.8161826422695488,93.52518993953488
harem_wang2vec_skip_4_0,harem,wang2vec,skip,4,0,13,20,00:20:39,1239.0,61.95,0.998653541525232,0.9987780040733197,0.9866739189556704,0.9850665218571817,0.9858695652173414,2.757703597421077,0.9860326894502229,0.9873204556711244,0.8800959232613906,0.8800959232613906,0.8800959232613407,42.798851776123044,0.9780863039399624,0.9798273921200751,0.8278576317590691,0.8076794657762938,0.8176440763900126,81.3641812936315
harem_wang2vec_skip_5_0,harem,wang2vec,skip,5,0,18,20,00:22:00,1320.0,66.0,0.9985556633792964,0.9986572182979395,0.9823465507876155,0.9815468113975576,0.9819465182570425,2.5458047230964276,0.9871105247132853,0.9880239520958084,0.8800959232613906,0.8843373493975901,0.8822115384614884,59.083974838256836,0.9779212007504691,0.979842401500938,0.8475849731663685,0.7909849749582638,0.8183074265975322,112.4143444457144
harem_word2vec_cbow_0_0,harem,word2vec,cbow,0,0,13,20,00:21:33,1293.0,64.65,0.9993394832295911,0.9993618736285881,0.9919115664599623,0.9921790722761596,0.9920453013347216,1.7501067937866075,0.9812042399737734,0.9830619604414818,0.8233830845771142,0.8443877551020406,0.8337531486145594,62.74705193837484,0.9768105065666042,0.9786266416510319,0.81641689373297,0.8003338898163606,0.8082953970662121,90.47384759615052
harem_word2vec_cbow_1_0,harem,word2vec,cbow,1,0,9,20,00:21:41,1301.0,65.05,0.9988352764239594,0.9989596643786822,0.9889487870619946,0.9870863599677159,0.9880166958394545,2.142226029020637,0.9870543716391157,0.9878510256920932,0.8606965174129351,0.9033942558746734,0.8815286624203319,40.644788360595705,0.9773208255159475,0.9788968105065666,0.8023521724926495,0.820033388981636,0.8110964332892499,75.83362149292569
harem_word2vec_cbow_2_0,harem,word2vec,cbow,2,0,16,20,00:22:31,1351.0,67.55,0.9987505963063084,0.998841462029486,0.9848526576700634,0.9853954257371177,0.9851239669420989,2.826187123336009,0.9842806479440238,0.9856225438512413,0.8534136546184737,0.9023354564755837,0.8771929824560903,65.00930802027385,0.9773658536585366,0.9792420262664165,0.8079514824797843,0.8006677796327212,0.8042931410363412,100.77281610021052
harem_word2vec_cbow_3_0,harem,word2vec,cbow,3,0,11,20,00:22:31,1351.0,67.55,0.9989866576591792,0.9990767325339188,0.989951113525258,0.9870024370430545,0.9884745762711364,2.2913265610808757,0.9818840579710145,0.9830227743271222,0.8444976076555022,0.8673218673218671,0.8557575757575256,67.14994557698567,0.9778311444652908,0.9796022514071294,0.8352816153028693,0.7873121869782972,0.8105878308696648,85.18067710804489
harem_word2vec_cbow_4_0,harem,word2vec,cbow,4,0,19,20,00:20:30,1230.0,61.5,0.9991627064946821,0.9991853360488798,0.989145183175034,0.9896823241922346,0.9894136807817091,1.7957529463707955,0.9870232788509163,0.9882119861317484,0.9009900990099008,0.8729016786570741,0.886723507917124,56.20585174560547,0.9778311444652908,0.9796923076923076,0.832398316970547,0.7926544240400668,0.8120403625790504,121.39493536499312
harem_word2vec_cbow_5_0,harem,word2vec,cbow,5,0,12,20,00:20:36,1236.0,61.8,0.9985669472591456,0.9987700570964321,0.985038084874864,0.9826322930800543,0.9838337182447537,2.667013918563946,0.9853851618796305,0.9861970973307622,0.848623853211009,0.8915662650602407,0.8695652173912541,55.21317221323649,0.9779662288930582,0.9795722326454034,0.807920792079208,0.8173622704507513,0.8126141078837675,87.4364544400629
harem_word2vec_skip_0_0,harem,word2vec,skip,0,0,19,20,00:21:36,1296.0,64.8,0.998746137656173,0.9988580896511576,0.9864864864864865,0.9843581445523193,0.9854211663066457,2.208061269011849,0.9806578516009179,0.9829526827669107,0.8197530864197529,0.8469387755102038,0.8331242158092347,90.62843805948893,0.9775759849906192,0.9795121951219512,0.8268563497571131,0.7956594323873122,0.8109579717542466,118.46787353731551
harem_word2vec_skip_1_0,harem,word2vec,skip,1,0,13,20,00:21:36,1296.0,64.8,0.9990275123539855,0.9991066683251727,0.9908454496499731,0.9900457358084477,0.9904454313012554,2.500242814032444,0.9889464250149372,0.9899422425811591,0.879795396419437,0.8981723237597908,0.8888888888888387,42.09284839630127,0.9779662288930582,0.9796923076923076,0.8155306883689386,0.8030050083472454,0.8092193808882407,94.19252820284862
harem_word2vec_skip_2_0,harem,word2vec,skip,2,0,16,20,00:22:26,1346.0,67.3,0.9991708502760046,0.9992617159991822,0.9884488448844885,0.9903554698263984,0.9894012388161924,2.064862863508178,0.9868685900508003,0.9878270871273842,0.8739669421487601,0.8980891719745221,0.8858638743454996,61.58877741495768,0.9770956848030019,0.979031894934334,0.8332742107130188,0.7843071786310517,0.8080495356036653,111.29853838794637
harem_word2vec_skip_3_0,harem,word2vec,skip,3,0,15,20,00:22:14,1334.0,66.7,0.9988290266283848,0.9988853234250971,0.9851230727616986,0.9861900893582454,0.9856562922868242,2.389917729617055,0.9840579710144928,0.9850931677018634,0.8380281690140843,0.8771498771498769,0.8571428571428069,74.75901508331299,0.9780112570356473,0.979812382739212,0.8234892454762718,0.8053422370617697,0.8143146522619352,100.89686865176795
harem_word2vec_skip_4_0,harem,word2vec,skip,4,0,15,20,00:20:42,1242.0,62.1,0.9985856528626386,0.9987101154107264,0.984251968503937,0.984251968503937,0.9842519685038871,2.619475119761122,0.9878157503714711,0.9891035165923725,0.8999999999999998,0.884892086330935,0.8923821039902764,46.50207761128743,0.9777711069418387,0.9794071294559099,0.8184594502884289,0.8053422370617697,0.811847862672451,99.47512641942726
harem_word2vec_skip_5_0,harem,word2vec,skip,5,0,10,20,00:21:18,1278.0,63.9,0.9988264764956782,0.9989280314143215,0.9858849077090119,0.98561736770692,0.9857511195548422,2.4578217957446826,0.9869075408505024,0.9878209682330255,0.8641686182669787,0.8891566265060239,0.8764845605700211,49.729681205749515,0.978266416510319,0.9798724202626642,0.8267581475128645,0.8046744574290484,0.8155668358713546,82.13214236385417
