Training Round,Epochs,Scenario,Embedding,Tagging Scheme,Capitalisation Dim,Lower,Char LSTM Dim,Word LSTM Dim,Precision,Recall,F1 Score
5,5,selective,Wang2Vec,iobes,False,False,25,200,15.81,17.14,16.45
5,5,selective,Wang2Vec,iobes,False,False,50,100,64.38,49.84,56.18
5,5,selective,Wang2Vec,iobes,False,False,50,200,62.37,52.6,57.07
5,5,selective,Wang2Vec,iobes,False,True,25,100,67.54,66.19,66.86
5,5,selective,Wang2Vec,iobes,False,True,25,200,67.21,65.4,66.29
5,5,selective,Wang2Vec,iobes,False,True,50,100,67.71,67.44,67.58
5,5,selective,Wang2Vec,iobes,False,True,50,200,69.0,63.86,66.33
5,5,selective,Wang2Vec,iobes,True,False,25,100,61.53,54.64,57.88
5,5,selective,Wang2Vec,iobes,True,False,25,200,62.28,49.26,55.02
5,5,selective,Wang2Vec,iobes,True,False,50,100,65.13,50.56,56.92
5,5,selective,Wang2Vec,iobes,True,False,50,200,59.67,53.53,56.44
5,5,selective,Wang2Vec,iobes,True,True,25,100,67.3,64.93,66.09
5,5,selective,Wang2Vec,iobes,True,True,25,200,68.91,63.25,65.96
5,5,selective,Wang2Vec,iobes,True,True,50,100,67.68,64.93,66.28
5,5,selective,Wang2Vec,iobes,True,True,50,200,67.26,66.3,66.78
6,5,selective,Wang2Vec,iob,False,False,25,100,58.63,52.85,55.59
6,5,selective,Wang2Vec,iob,False,False,25,200,66.8,47.11,55.26
6,5,selective,Wang2Vec,iob,False,False,50,100,59.76,52.13,55.69
6,5,selective,Wang2Vec,iob,False,False,50,200,61.56,53.28,57.12
6,5,selective,Wang2Vec,iob,False,True,25,100,69.88,65.72,67.74
6,5,selective,Wang2Vec,iob,False,True,25,200,64.61,67.08,65.82
6,5,selective,Wang2Vec,iob,False,True,50,100,72.42,63.0,67.38
6,5,selective,Wang2Vec,iob,False,True,50,200,69.31,65.58,67.39
6,5,selective,Wang2Vec,iob,True,False,25,100,57.43,55.97,56.69
6,5,selective,Wang2Vec,iob,True,False,25,200,58.12,55.18,56.61
6,5,selective,Wang2Vec,iob,True,False,50,100,66.04,47.97,55.58
6,5,selective,Wang2Vec,iob,True,False,50,200,62.32,47.44,53.87
6,5,selective,Wang2Vec,iob,True,True,25,100,66.97,68.2,67.58
6,5,selective,Wang2Vec,iob,True,True,25,200,69.11,63.21,66.03
6,5,selective,Wang2Vec,iob,True,True,50,100,67.18,62.96,65.0
6,5,selective,Wang2Vec,iob,True,True,50,200,51.32,18.86,27.58
6,5,selective,Wang2Vec,iobes,False,False,25,100,63.02,52.67,57.38
6,5,selective,Wang2Vec,iobes,False,False,25,200,63.91,51.31,56.92
6,5,selective,Wang2Vec,iobes,False,False,50,100,56.24,45.21,50.13
6,5,selective,Wang2Vec,iobes,False,False,50,200,61.98,55.0,58.28
6,5,selective,Wang2Vec,iobes,False,True,25,100,70.29,63.03,66.47
6,5,selective,Wang2Vec,iobes,False,True,25,200,72.08,61.38,66.31
