,Training_Round,Epochs,Scenario,Embedding,Tagging_Scheme,Capitalisation_Dim,Lower,Char_LSTM_Dim,Word_LSTM_Dim,Precision,Recall,F1_Score
706,2,5,selective,Glove,IOB2,False,False,50,100,60.64,50.48,55.1
738,3,5,selective,Glove,IOB2,False,False,50,100,63.33,50.66,56.29
770,4,5,selective,Glove,IOB2,False,False,50,100,58.12,53.39,55.65
802,5,5,selective,Glove,IOB2,False,False,50,100,61.5,51.02,55.77
834,6,5,selective,Glove,IOB2,False,False,50,100,66.43,47.47,55.37
866,7,5,selective,Glove,IOB2,False,False,50,100,58.27,51.31,54.57
898,8,5,selective,Glove,IOB2,False,False,50,100,52.71,52.64,52.67
930,9,5,selective,Glove,IOB2,False,False,50,100,62.01,48.98,54.73
643,0,5,selective,Glove,IOB2,False,False,50,200,59.45,51.09,54.96
675,1,5,selective,Glove,IOB2,False,False,50,200,61.59,43.24,50.81
707,2,5,selective,Glove,IOB2,False,False,50,200,61.49,49.23,54.68
739,3,5,selective,Glove,IOB2,False,False,50,200,63.68,46.4,53.68
771,4,5,selective,Glove,IOB2,False,False,50,200,55.83,50.27,52.91
803,5,5,selective,Glove,IOB2,False,False,50,200,59.43,52.21,55.58
835,6,5,selective,Glove,IOB2,False,False,50,200,55.24,52.71,53.94
867,7,5,selective,Glove,IOB2,False,False,50,200,58.28,54.14,56.13
899,8,5,selective,Glove,IOB2,False,False,50,200,62.33,46.32,53.15
931,9,5,selective,Glove,IOB2,False,False,50,200,60.18,50.13,54.69
644,0,5,selective,Glove,IOB2,False,True,25,100,65.74,60.42,62.97
676,1,5,selective,Glove,IOB2,False,True,25,100,61.41,62.03,61.72
708,2,5,selective,Glove,IOB2,False,True,25,100,64.66,63.43,64.04
772,4,5,selective,Glove,IOB2,False,True,25,100,66.92,57.44,61.82
804,5,5,selective,Glove,IOB2,False,True,25,100,65.18,59.81,62.38
836,6,5,selective,Glove,IOB2,False,True,25,100,63.16,60.13,61.61
868,7,5,selective,Glove,IOB2,False,True,25,100,64.75,62.82,63.77
900,8,5,selective,Glove,IOB2,False,True,25,100,70.76,56.65,62.92
932,9,5,selective,Glove,IOB2,False,True,25,100,68.47,58.55,63.12
645,0,5,selective,Glove,IOB2,False,True,25,200,68.0,58.98,63.17
677,1,5,selective,Glove,IOB2,False,True,25,200,68.68,57.01,62.3
709,2,5,selective,Glove,IOB2,False,True,25,200,62.89,61.67,62.27
741,3,5,selective,Glove,IOB2,False,True,25,200,60.05,63.75,61.84
773,4,5,selective,Glove,IOB2,False,True,25,200,63.0,63.0,63.0
805,5,5,selective,Glove,IOB2,False,True,25,200,61.01,59.63,60.31
837,6,5,selective,Glove,IOB2,False,True,25,200,67.41,56.01,61.18
869,7,5,selective,Glove,IOB2,False,True,25,200,66.65,61.13,63.77
901,8,5,selective,Glove,IOB2,False,True,25,200,65.92,57.15,61.23
933,9,5,selective,Glove,IOB2,False,True,25,200,64.18,61.42,62.77
646,0,5,selective,Glove,IOB2,False,True,50,100,62.77,62.5,62.63
678,1,5,selective,Glove,IOB2,False,True,50,100,70.18,55.79,62.17
710,2,5,selective,Glove,IOB2,False,True,50,100,62.29,57.8,59.96
742,3,5,selective,Glove,IOB2,False,True,50,100,62.17,64.93,63.52
774,4,5,selective,Glove,IOB2,False,True,50,100,66.78,61.99,64.3
806,5,5,selective,Glove,IOB2,False,True,50,100,66.02,60.81,63.31
838,6,5,selective,Glove,IOB2,False,True,50,100,60.04,60.6,60.31
870,7,5,selective,Glove,IOB2,False,True,50,100,67.5,60.63,63.88
902,8,5,selective,Glove,IOB2,False,True,50,100,62.53,62.46,62.49
934,9,5,selective,Glove,IOB2,False,True,50,100,62.7,63.18,62.94
647,0,5,selective,Glove,IOB2,False,True,50,200,59.19,63.97,61.49
679,1,5,selective,Glove,IOB2,False,True,50,200,66.1,59.63,62.7
711,2,5,selective,Glove,IOB2,False,True,50,200,67.59,58.69,62.83
743,3,5,selective,Glove,IOB2,False,True,50,200,62.5,63.0,62.75
775,4,5,selective,Glove,IOB2,False,True,50,200,66.61,61.31,63.85
807,5,5,selective,Glove,IOB2,False,True,50,200,66.16,62.46,64.26
839,6,5,selective,Glove,IOB2,False,True,50,200,66.43,59.52,62.78
